Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
1,112.5,174515,0.01,1e-14,172.20247585891377,0.5722591399188941
1,112.5,174515,0.01,1e-19,172.3422523503735,0.5722591399188941
1,112.5,246108,0.01,1e-19,172.3422523503735,0.5722591399188941
1,112.5,795953,0.01,1e-19,172.3422523503735,0.5722591399188941
1,112.5,795953,1e-15,1e-19,202.22724445924467,0.5722591399188941
1,112.5,836639,1e-15,1e-19,202.227235450899,0.5722591399188941
1,112.5,836639,1e-10,1e-19,184.16588264714423,0.5722591399188941
1,112.5,908080,1e-10,1e-19,182.66397488230362,0.5722591399188941
1,112.5,908080,1e-13,1e-19,202.20734428770368,0.5722591399188941
1,112.5,901762,1e-13,1e-19,202.20748396177098,0.5722591399188941
1,112.5,901762,1e-10,1e-19,182.79654243808318,0.5722591399188941
1,112.5,901762,1e-14,1e-19,202.22542673135112,0.5722591399188941
1,112.5,901762,1e-14,1e-20,202.22542673135112,0.5722591399188941
1,112.5,901762,1e-14,1e-20,202.22542673135112,0.5722591399188941
1,112.5,901762,1e-19,1e-20,202.22742052885175,0.5722591399188941
1,112.5,901762,1e-12,1e-20,202.02810127011657,0.5722591399188941
1,112.5,901762,1e-12,1e-20,202.02810127011657,0.5722591399188941
1,112.5,901762,1e-12,1e-17,202.02810127011657,0.5722591399188941
1,112.5,901762,1e-18,1e-17,202.2274201740803,0.5722591399188941
1,112.5,660796,1e-18,1e-17,202.2274202792475,0.5722591399188941
1,112.5,660796,1e-18,1e-10,202.2274202806872,0.5722591399188941
1,112.5,660796,1e-18,1e-05,202.22756425916376,0.5722591399188941
1,112.5,730318,1e-18,1e-05,202.22756428307005,0.5722591399188941
1,112.5,730318,1e-20,1e-05,202.22756440727258,0.5722591399188941
1,112.5,868016,1e-20,1e-05,202.22756440750726,0.5722591399188941
1,112.5,688065,1e-20,1e-05,202.22756440727258,0.5722591399188941
1,112.5,688065,1e-20,1e-05,202.22756440727258,0.5722591399188941
1,112.5,688065,1e-20,1e-11,202.22742042750025,0.5722591399188941
1,112.5,688065,1e-20,1e-15,202.2274204273563,0.5722591399188941
1,112.5,477803,1e-20,1e-15,202.22742042738545,0.5722591399188941
1,112.5,477803,0.01,1e-15,172.3139703932298,0.5722591399188941
2,84.375,477803,0.001,1e-15,772.9106013741421,0.5722591399188941
2,84.375,477803,1e-15,1e-15,202.22731479217498,0.5722591399188941
2,84.375,477803,1e-15,1e-14,202.2273147921751,0.5722591399188941
2,84.375,477803,1e-13,1e-14,202.2168568577144,0.5722591399188941
2,84.375,139189,1e-13,1e-14,202.22434312560543,0.5722591399188941
2,84.375,139189,1e-07,1e-14,3.7390903526476182,0.5722591399188941
